English,Afrikaans,isiXhosa,isiZulu
Morning,Oggend,Kusasa,Ekuseni
Noon,Middag,Emini,Emini
Evening,Aand,Ngorhatya,Kusihlwa
Night,Nag,Ebusuku,Ebusuku
