English,Afrikaans,isiXhosa,isiZulu
Every 4 hours,Elke 4 uur,Rhoqo kwiiyure ezi-4, Njalo emva kwamahora awu-4
Every 6 hours,Elke 6 uur,Rhoqo kwiiyure ezi-6, Njalo emva kwamahora awu-6
Every 8 hours,Elke 8 uur,Rhoqo kwiiyure ezi-8, Njalo emva kwamahora awu-8
Every 12 hours,Elke 12 uur,Rhoqo kiiyure ezi-12, Njalo emva kwamahora awu-12
